Workers,Candidates,T_seq(ms),T_par(ms),Speedup,Efficiency,ParallelFraction,Correctness
1,1000,94,218,0.43,0.43,Infinity,true
2,1000,103,273,0.38,0.19,4.30,true
4,1000,94,361,0.26,0.07,4.79,true
1,5000,231,513,0.45,0.45,Infinity,true
2,5000,243,402,0.60,0.30,2.31,true
4,5000,261,806,0.32,0.08,3.78,true
1,10000,385,841,0.46,0.46,Infinity,true
2,10000,454,669,0.68,0.34,1.95,true
4,10000,402,709,0.57,0.14,2.02,true
1,100000,3567,6502,0.55,0.55,Infinity,true
2,100000,3592,4232,0.85,0.42,1.36,true
4,100000,3467,3224,1.08,0.27,0.91,true
