Workers,Candidates,T_seq(ms),T_par(ms),Speedup,Efficiency,ParallelFraction,Correctness
1,50000,1452,2558,0.57,0.57,Infinity,true
2,50000,1409,1463,0.96,0.48,1.08,true
4,50000,1765,1314,1.34,0.34,0.66,true
6,50000,1996,1176,1.70,0.28,0.51,true
1,100000,3083,8480,0.36,0.36,Infinity,true
2,100000,4857,8032,0.60,0.30,2.31,true
4,100000,5476,6973,0.79,0.20,1.36,true
6,100000,3915,7226,0.54,0.09,2.01,true
1,200000,6568,13337,0.49,0.49,Infinity,true
2,200000,6608,8262,0.80,0.40,1.50,true
4,200000,8860,5988,1.48,0.37,0.57,true
6,200000,6518,7621,0.86,0.14,1.20,true
