Workers,Candidates,T_seq(ms),T_par(ms),Speedup,Efficiency,ParallelFraction,Correctness
1,1000,64,143,0.45,0.45,Infinity,true
2,1000,60,137,0.44,0.22,3.57,true
4,1000,71,195,0.36,0.09,3.33,true
1,5000,158,371,0.43,0.43,Infinity,true
2,5000,216,240,0.90,0.45,1.22,true
4,5000,167,383,0.44,0.11,2.72,true
1,10000,306,527,0.58,0.58,Infinity,true
2,10000,309,362,0.85,0.43,1.34,true
4,10000,333,445,0.75,0.19,1.45,true
1,100000,2701,3171,0.85,0.85,Infinity,true
2,100000,2572,2664,0.97,0.48,1.07,true
4,100000,2640,1810,1.46,0.36,0.58,true
