[Worker-7] ?????? PDC Grid Management — WORKER NODE ??????
[Worker-7] Using 4 threads  connecting to localhost:9090
[Worker-7] GRID_INIT received: 500 nodes  1000 edges  total 100000 candidates
[Worker-7] Chunk #6  [600, 700)  100 candidates
[Worker-7] Chunk #6 done in 18 ms  local best: candidate #667  cost=37007347.73
[Worker-7] Chunk #15  [1500, 1600)  100 candidates
[Worker-7] Chunk #15 done in 17 ms  local best: candidate #1539  cost=36526345.70
[Worker-7] Chunk #28  [2800, 2900)  100 candidates
[Worker-7] Chunk #28 done in 6 ms  local best: candidate #2880  cost=37287008.37
[Worker-7] Chunk #38  [3800, 3900)  100 candidates
[Worker-7] Chunk #38 done in 2 ms  local best: candidate #3824  cost=37322842.98
[Worker-7] Chunk #51  [5100, 5200)  100 candidates
[Worker-7] Chunk #51 done in 6 ms  local best: candidate #5105  cost=37523784.72
[Worker-7] Chunk #59  [5900, 6000)  100 candidates
[Worker-7] Chunk #59 done in 3 ms  local best: candidate #5993  cost=36678600.49
[Worker-7] Chunk #67  [6700, 6800)  100 candidates
[Worker-7] Chunk #67 done in 2 ms  local best: candidate #6751  cost=37236748.71
[Worker-7] Chunk #75  [7500, 7600)  100 candidates
[Worker-7] Chunk #75 done in 4 ms  local best: candidate #7505  cost=37135084.02
[Worker-7] Chunk #82  [8200, 8300)  100 candidates
[Worker-7] Chunk #82 done in 5 ms  local best: candidate #8262  cost=36270105.21
[Worker-7] Chunk #90  [9000, 9100)  100 candidates
[Worker-7] Chunk #90 done in 1 ms  local best: candidate #9011  cost=37079132.72
[Worker-7] Chunk #96  [9600, 9700)  100 candidates
[Worker-7] Chunk #96 done in 4 ms  local best: candidate #9606  cost=37250793.34
[Worker-7] Chunk #105  [10500, 10600)  100 candidates
[Worker-7] Chunk #105 done in 3 ms  local best: candidate #10544  cost=36740755.83
[Worker-7] Chunk #113  [11300, 11400)  100 candidates
[Worker-7] Chunk #113 done in 2 ms  local best: candidate #11330  cost=36920275.56
[Worker-7] Chunk #121  [12100, 12200)  100 candidates
[Worker-7] Chunk #121 done in 3 ms  local best: candidate #12189  cost=36877388.43
[Worker-7] Chunk #128  [12800, 12900)  100 candidates
[Worker-7] Chunk #128 done in 2 ms  local best: candidate #12891  cost=37175286.96
[Worker-7] Chunk #135  [13500, 13600)  100 candidates
[Worker-7] Chunk #135 done in 2 ms  local best: candidate #13599  cost=36727090.44
[Worker-7] Chunk #145  [14500, 14600)  100 candidates
[Worker-7] Chunk #145 done in 2 ms  local best: candidate #14521  cost=37082911.84
[Worker-7] Chunk #151  [15100, 15200)  100 candidates
[Worker-7] Chunk #151 done in 4 ms  local best: candidate #15116  cost=36907299.74
[Worker-7] Chunk #161  [16100, 16200)  100 candidates
